timestamp,recipient,subject,original_message_id,latest_message_id,similarity_score,status,error
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Btu Weekly,30486185.1075856289541.JavaMail.evans@thyme,15689141.1075858473221.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Btu's Weekly Power Report,31760540.1075856288202.JavaMail.evans@thyme,16667304.1075858473243.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Congratulations,21218070.1075856781972.JavaMail.evans@thyme,1404433.1075856781485.JavaMail.evans@thyme,92.47,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Year End 2000 Performance Feedback,14990260.1075856270492.JavaMail.evans@thyme,17486285.1075856660510.JavaMail.evans@thyme,66.89,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Mid-Year 2000 Performance Feedback,9594515.1075863703752.JavaMail.evans@thyme,31411555.1075863700069.JavaMail.evans@thyme,84.72,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: EnTouch Newsletter,7535120.1075856214148.JavaMail.evans@thyme,10865052.1075858468356.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: EPRM article,7679082.1075856292732.JavaMail.evans@thyme,19508899.1075856199356.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: WARNING:  Your mailbox is approaching the size limit,17514177.1075858456698.JavaMail.evans@thyme,3678957.1075861489347.JavaMail.evans@thyme,99.48,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: ERisk Essentials,27936868.1075856203987.JavaMail.evans@thyme,22860495.1075858473376.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: ENSIDE Draft,21173941.1075856204124.JavaMail.evans@thyme,8420979.1075858468400.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: MGMT 656,20635560.1075856226498.JavaMail.evans@thyme,20812041.1075858471438.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Re: INFORMS National conference at San Antonio,10753992.1075856283920.JavaMail.evans@thyme,27982966.1075856269771.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Approval is Overdue: Access Request for stewart.range@enron.com,7321212.1075856654884.JavaMail.evans@thyme,1535875.1075856644240.JavaMail.evans@thyme,99.7,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: (no subject),33165830.1075856783781.JavaMail.evans@thyme,14927112.1075856324691.JavaMail.evans@thyme,100.0,dry_run,
2026-04-20T01:08:45.999536+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Mid-Year 2001 Performance Feedback,3051384.1075860207814.JavaMail.evans@thyme,21668613.1075843524495.JavaMail.evans@thyme,93.94,dry_run,
2026-04-20T01:12:44.447179+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Btu Weekly,30486185.1075856289541.JavaMail.evans@thyme,3336331.1075856179106.JavaMail.evans@thyme,100.0,sent,
2026-04-20T01:12:44.447179+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Btu's Weekly Power Report,31760540.1075856288202.JavaMail.evans@thyme,30945262.1075856179085.JavaMail.evans@thyme,100.0,sent,
2026-04-20T01:12:44.447179+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Congratulations,21218070.1075856781972.JavaMail.evans@thyme,15548412.1075856781510.JavaMail.evans@thyme,91.67,sent,
2026-04-20T01:12:44.447179+00:00,manubhadriraju@gmail.com,[Duplicate Notice] Re: Year End 2000 Performance Feedback,14990260.1075856270492.JavaMail.evans@thyme,4433444.1075856881269.JavaMail.evans@thyme,66.89,sent,
